,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
117,Clark,US,644644,4709,2266715,287,4/1/2020,14,54.8,12.4,10.4,0.7,0.8,14.9,6.1,301845,,,36.114647,-115.172813,3/8/2020,no2,Las Vegas
118,Clark,US,644644,4709,2266715,287,4/1/2020,14,54.8,12.4,10.4,0.7,0.8,14.9,6.1,301845,,,36.114647,-115.172813,3/9/2020,so2,Las Vegas
119,Tibet,CN,330000,1377,,,,,,,,,,,,,,,29.65,91.1,1/16/2020,o3,Lhasa
120,Tibet,CN,330000,1377,,,,,,,,,,,,,,,29.65,91.1,1/16/2020,pm25,Lhasa
121,Tibet,CN,330000,1377,,,,,,,,,,,,,,,29.65,91.1,1/16/2020,no2,Lhasa
122,Tibet,CN,330000,1377,,,,,,,,,,,,,,,29.65,91.1,1/16/2020,pm10,Lhasa
123,Tibet,CN,330000,1377,,,,,,,,,,,,,,,29.65,91.1,3/26/2020,pm10,Lhasa
124,Tibet,CN,330000,1377,,,,,,,,,,,,,,,29.65,91.1,2/15/2020,co,Lhasa
125,Pulsaki,US,197881,1673,391911,515,,16.7,54.4,36.9,2.4,0.4,0.1,3.3,2.6,56988,,,34.75,-92.29,,,Little Rock
126,Los Angeles,US,3990456,8484,10039107,2473,3/19/2020,14.2,48.6,8.2,15,0.7,0.3,22.4,4.9,1299277,,,34.052235,-118.243683,1/31/2020,o3,Los Angeles
127,Los Angeles,US,3990456,8484,10039107,2473,3/19/2020,14.2,48.6,8.2,15,0.7,0.3,22.4,4.9,1299277,,,34.052235,-118.243683,3/6/2020,pm25,Los Angeles
128,Los Angeles,US,3990456,8484,10039107,2473,3/19/2020,14.2,48.6,8.2,15,0.7,0.3,22.4,4.9,1299277,,,34.052235,-118.243683,3/6/2020,no2,Los Angeles
129,Los Angeles,US,3990456,8484,10039107,2473,3/19/2020,14.2,48.6,8.2,15,0.7,0.3,22.4,4.9,1299277,,,34.052235,-118.243683,3/6/2020,pm10,Los Angeles
