,City,Country,Date,Specie,Unnamed: 0,count,max,median,min,variance,iaqi,AQI
295121,Albuquerque,US,2020-01-31 00:00:00,pm10,295121.0,58,44.0,9.0,3.0,740.17,8,38
295395,Albuquerque,US,2020-01-31 00:00:00,pm25,295395.0,60,59.0,9.0,4.0,929.08,38,38
295520,Albuquerque,US,2020-01-31 00:00:00,no2,295520.0,24,21.3,4.7,1.9,288.1,4,38
294562,Albuquerque,US,2020-02-01 00:00:00,co,294562.0,38,6.6,2.0,0.2,23.27,23,55
294712,Albuquerque,US,2020-02-01 00:00:00,so2,294712.0,4,1.5,1.5,1.5,0.0,1,55
294796,Albuquerque,US,2020-02-01 00:00:00,o3,294796.0,72,34.4,24.1,0.8,925.15,20,55
295115,Albuquerque,US,2020-02-01 00:00:00,pm10,295115.0,71,58.0,11.0,2.0,1657.87,10,55
295373,Albuquerque,US,2020-02-01 00:00:00,pm25,295373.0,72,65.0,14.0,3.0,1507.98,55,55
295596,Albuquerque,US,2020-02-01 00:00:00,no2,295596.0,22,31.5,10.2,3.8,771.64,9,55
294560,Albuquerque,US,2020-02-02 00:00:00,co,294560.0,44,4.9,2.2,0.6,12.37,25,59
294695,Albuquerque,US,2020-02-02 00:00:00,so2,294695.0,3,1.5,1.5,1.5,0.0,1,59
294867,Albuquerque,US,2020-02-02 00:00:00,o3,294867.0,63,36.1,23.3,0.8,767.12,19,59
295158,Albuquerque,US,2020-02-02 00:00:00,pm10,295158.0,71,45.0,10.0,2.0,1148.94,9,59
295463,Albuquerque,US,2020-02-02 00:00:00,pm25,295463.0,72,66.0,16.0,6.0,2197.18,59,59
295485,Albuquerque,US,2020-02-02 00:00:00,no2,295485.0,21,25.1,7.5,1.9,338.73,7,59
294588,Albuquerque,US,2020-02-03 00:00:00,co,294588.0,45,25.6,1.6,0.2,153.62,18,53
294755,Albuquerque,US,2020-02-03 00:00:00,so2,294755.0,2,1.5,1.5,1.5,0.0,1,53
294830,Albuquerque,US,2020-02-03 00:00:00,o3,294830.0,55,36.8,28.9,1.6,832.07,24,53
295083,Albuquerque,US,2020-02-03 00:00:00,pm10,295083.0,71,290.0,18.0,6.0,15840.0,17,53
295428,Albuquerque,US,2020-02-03 00:00:00,pm25,295428.0,72,102.0,13.0,5.0,3088.63,53,53
295530,Albuquerque,US,2020-02-03 00:00:00,no2,295530.0,24,31.5,4.7,1.9,504.74,4,53
294549,Albuquerque,US,2020-02-04 00:00:00,co,294549.0,46,3.8,1.6,0.2,4.6,18,61
294777,Albuquerque,US,2020-02-04 00:00:00,o3,294777.0,61,35.2,26.4,10.4,361.79,22,61
295094,Albuquerque,US,2020-02-04 00:00:00,pm10,295094.0,72,21.0,12.0,7.0,164.15,11,61
295424,Albuquerque,US,2020-02-04 00:00:00,pm25,295424.0,71,48.0,17.0,10.0,345.93,61,61
295497,Albuquerque,US,2020-02-04 00:00:00,no2,295497.0,21,19.5,6.5,1.0,216.36,6,61
294556,Albuquerque,US,2020-02-05 00:00:00,co,294556.0,48,6.3,1.7,1.0,9.75,18,61
294851,Albuquerque,US,2020-02-05 00:00:00,o3,294851.0,72,32.8,24.8,0.8,605.23,20,61
295073,Albuquerque,US,2020-02-05 00:00:00,pm10,295073.0,71,60.0,10.0,6.0,558.96,9,61
295389,Albuquerque,US,2020-02-05 00:00:00,pm25,295389.0,72,56.0,17.0,10.0,523.05,61,61
295552,Albuquerque,US,2020-02-05 00:00:00,no2,295552.0,24,15.8,6.5,2.8,173.95,6,61
294615,Albuquerque,US,2020-02-06 00:00:00,co,294615.0,47,4.8,1.6,0.4,6.81,18,38
294852,Albuquerque,US,2020-02-06 00:00:00,o3,294852.0,71,32.0,25.6,3.2,497.5,21,38
295075,Albuquerque,US,2020-02-06 00:00:00,pm10,295075.0,69,60.0,10.0,4.0,1574.3,9,38
295456,Albuquerque,US,2020-02-06 00:00:00,pm25,295456.0,72,54.0,9.0,3.0,977.28,38,38
295565,Albuquerque,US,2020-02-06 00:00:00,no2,295565.0,24,13.0,3.8,1.9,79.6,3,38
294585,Albuquerque,US,2020-02-07 00:00:00,co,294585.0,48,15.6,1.6,0.2,69.65,18,29
294791,Albuquerque,US,2020-02-07 00:00:00,o3,294791.0,70,31.2,22.4,0.8,679.59,19,29
295080,Albuquerque,US,2020-02-07 00:00:00,pm10,295080.0,71,57.0,10.0,2.0,1597.0,9,29
295422,Albuquerque,US,2020-02-07 00:00:00,pm25,295422.0,71,59.0,7.0,2.0,1381.03,29,29
295544,Albuquerque,US,2020-02-07 00:00:00,no2,295544.0,24,27.8,5.6,1.9,499.75,5,29
294592,Albuquerque,US,2020-02-08 00:00:00,co,294592.0,46,9.4,1.9,0.6,41.85,20,46
294703,Albuquerque,US,2020-02-08 00:00:00,so2,294703.0,6,2.9,1.5,1.5,5.88,1,46
294797,Albuquerque,US,2020-02-08 00:00:00,o3,294797.0,71,33.6,22.4,0.8,945.52,19,46
295101,Albuquerque,US,2020-02-08 00:00:00,pm10,295101.0,72,55.0,10.0,2.0,780.97,9,46
295464,Albuquerque,US,2020-02-08 00:00:00,pm25,295464.0,72,64.0,11.0,3.0,1208.03,46,46
295585,Albuquerque,US,2020-02-08 00:00:00,no2,295585.0,24,29.7,11.2,1.9,922.14,10,46
294602,Albuquerque,US,2020-02-09 00:00:00,co,294602.0,43,6.4,1.5,0.4,12.65,17,42
294831,Albuquerque,US,2020-02-09 00:00:00,o3,294831.0,65,38.4,29.6,3.2,956.99,25,42
295058,Albuquerque,US,2020-02-09 00:00:00,pm10,295058.0,67,75.0,10.0,4.0,1978.27,9,42
295388,Albuquerque,US,2020-02-09 00:00:00,pm25,295388.0,72,43.0,10.0,4.0,845.91,42,42
295522,Albuquerque,US,2020-02-09 00:00:00,no2,295522.0,21,28.8,2.8,1.0,672.4,2,42
294568,Albuquerque,US,2020-02-10 00:00:00,co,294568.0,48,3.4,1.6,0.2,6.77,18,57
294804,Albuquerque,US,2020-02-10 00:00:00,o3,294804.0,72,32.0,19.2,4.0,437.93,16,57
295135,Albuquerque,US,2020-02-10 00:00:00,pm10,295135.0,72,18.0,9.0,1.0,137.59,8,57
295475,Albuquerque,US,2020-02-10 00:00:00,pm25,295475.0,72,45.0,15.0,3.0,835.73,57,57
295581,Albuquerque,US,2020-02-10 00:00:00,no2,295581.0,22,16.7,6.5,1.9,231.68,6,57
